brand,product,shade,cielab
bareminerals,gen nude matte liquid lipcolor,slay,"[49.098108383857564, 9.069841592157847, 4.411109283641346]"
bareminerals,gen nude matte liquid lipcolor,swag,"[48.52581644873527, 10.720500560443547, 4.305807426185848]"
bodyography,lipstick,catfight,"[53.005474426509, 8.961222469619834, 1.8148793294663568]"
mac cosmetics,frost lipstick,fabby,"[23.137086321834595, 1.501926738848136, 0.1421380628876756]"
natasha denona,i need a nude lipstick,5b nati,"[64.71305494051583, 5.999241540558864, 0.8307277839242122]"
pat mcgrath labs,blitztrance lipstick,skinsane,"[70.32679364079243, 4.889712300625682, 10.697648516562918]"
rare beauty by selena gomez,lip souffle matte cream lipstick,confident,"[59.90195374924859, 33.12161668219949, 9.585711208843929]"
ulta,lasting color lip gloss stain,regal,"[60.97189489623257, 5.104836983195138, 1.3893802716842707]"
charlotte tilbury,superstar lips,sexy lips,"[54.76537626916685, 15.320592079449135, 18.20819783693124]"
glossier,generation g sheer matte lipstick,cake,"[46.019778984494515, 2.4294229346317753, 0.05916953845521711]"
hourglass,phantom volumizing glossy lip balm,wish 95,"[53.92421793897191, 32.27155585121228, 23.48912346978741]"
kulfi,heirloom satin lipstick,polki dots,"[67.29329698337295, 25.38235770297953, 14.272331975098496]"
revlon,super lustrous lipstick,808 dirty shirley,"[43.00710238193404, 15.42411836233909, 11.319395362067652]"
shiseido,visionairy gel lipstick,202 bullet train,"[35.30613835648981, 7.377484027693254, 2.7768532929776657]"
sigma beauty,infinity point lipstick,peach tea,"[35.84147383102446, 14.051184475563694, 8.38482380644825]"
smashbox,always on cream to matte lipstick,not today,"[29.486900944389653, 1.6652153109724954, -2.713496463792886]"
stila,stay all day liquid lipstick,romanza,"[84.43583982461084, 9.989111285904517, 4.12227646546286]"
tom ford,lip color lipstick,14 sable smoke,"[52.37929040282654, 17.5818481535982, 14.886658521426256]"
anastasia beverly hills,liquid lipstick,dusty rose,"[66.09389306654482, 10.081312040959634, -0.6540828215281458]"
anastasia beverly hills,liquid lipstick,veronica,"[64.09861583064318, 9.166429132505149, -0.13365548295920515]"
ardell,matte whipped lipstick,unsafe & wicked,"[46.589021157929736, 7.188204821469258, -1.8585654766633652]"
ardell,vinyl vixen lip lacquer,lover,"[48.71665935040748, 14.600679011072316, 0.3085612544118099]"
bodyography,lipstick,hot kiss,"[54.092207291375644, 9.958108665271027, 0.6341866186754475]"
buxom,full force plumping lipstick,rockstar,"[50.1848823173581, 2.8098543533438547, -1.4796765421464464]"
buxom,serial kisser plumping lip stain,frenchie,"[37.85402939124515, 8.52932142906171, -1.0864696522119965]"
buxom,serial kisser plumping lip stain,pucker up dolly,"[38.488797772940096, 8.026166377052668, 0.7374897520219914]"
estée lauder,pure color envy matte sculpting lipstick,113 raw edge,"[70.83308678289286, 14.1600885593135, 3.0990066335100597]"
hourglass,girl lip stylo,achiever,"[40.73595694543614, 8.80034519400938, 9.457768709927128]"
lancôme,l'absolu lacquer long-lasting liquid lipstick,306 infra rose,"[35.695931651796144, 3.9910325841830128, 1.5496785901242816]"
lancôme,l'absolu lacquer long-lasting liquid lipstick,356 rose fugace,"[34.6941166623658, 5.639676144336747, 1.4092932324642482]"
lime crime,matte velvetine lipstick,gigi,"[54.57298765862727, 33.270554262743616, 9.645821392950914]"
lorac,pro satin lip color,blush,"[12.616301493584132, 2.176614079667516, -3.8216885344173]"
maybelline,superstay vinyl ink liquid lipcolor,40 witty,"[56.43632363387982, 23.884099834827865, 5.543877627785232]"
mineral fusion,lipstick,inspire,"[75.58239054579884, 14.313630097047337, 9.721006503040396]"
morphe,matte liquid lipstick,jealousy,"[53.48514457188763, 25.903645405005005, 10.479611047166237]"
nudestix,nude plumping lip glace,nude 04,"[41.304448693999674, 19.548238531769986, 4.175395348797117]"
nyx professional makeup,soft matte lip cream,budapest,"[28.029419270903247, 15.341437443198853, 3.9575444403449067]"
ogee,full bloom sculpted lipstick,amnesia,"[53.0389441953798, 28.229385989865964, 1.6096329909357054]"
r.e.m. beauty,eclipse cheek & lip stick,opening night,"[47.89954663331339, 32.70686575745108, 8.680440896401699]"
revlon,super lustrous lipstick,760 desert escape,"[53.81737277274307, 34.47253942934797, 9.52733529570462]"
revlon,ultra hd lip mousse hyper matte,spice 825,"[55.14634122822021, 12.310465845019047, 5.142597369797652]"
sigma beauty,infinity point lipstick,temptation,"[41.04772863682993, 15.607994946059412, 11.336578893023486]"
sigma beauty,liquid lipstick,new mod,"[46.03947528267505, 19.81454378738279, 7.9330784489927915]"
smashbox,be legendary liquid lip,mauve squad,"[43.89015814449143, 11.765001789449725, 6.138691694691866]"
smashbox,be legendary prime & plush lipstick,spoiler alert,"[49.42235504424089, 37.79647624841975, 13.222868450783466]"
tarte,sugar rush - sugar coat velvet liquid lipstick,cupcake,"[62.55139210531925, 17.531833987232847, 9.555968388207692]"
ulta,radiant shine lipstick,straight a's,"[62.88956948203807, 4.168364810957392, -2.2539097937262165]"
ulta,velvet matte lip crayon,wilderness,"[51.791776843799994, 10.28021266421547, -0.9098085977413684]"
yves saint laurent,rouge volupte shine lipstick balm,86 mauve cuir,"[51.170031621163375, 12.378860259951773, 17.280344587335815]"
zoeva,pure velours lip,faint of heart,"[46.924595783226565, 11.320666133960822, 3.720361678879125]"
